File Name;Execution;Number of vertices;Number of edges;Min count;Max count;Block Ordering;Random guess;Random distance;Random hit;Predictor guess;Predictor distance;Predictor hit;Profile guess;Profile distance;Profile hit;Benchmark link
extr_FFmpeglibswscaleswscale.c_chrRangeFromJpeg_c.c;1;5;6;1;11;"3;21;4;0;23";"21;4;23;0;3";5;0,5000;"3;21;4;0;23";0;1,0000;"3;21;4;0;23";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibswscaleswscale.c_chrRangeFromJpeg_c.c
extr_FFmpeglibswscaleswscale.c_chrRangeFromJpeg_c.c;2;5;6;0;1;"0;23;3;21;4";"21;4;23;0;3";7;0,3000;"3;21;4;0;23";6;0,4000;"3;21;4;0;23";6;0,4000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibswscaleswscale.c_chrRangeFromJpeg_c.c
extr_FFmpeglibswscaleswscale.c_lumRangeFromJpeg16_c.c;0;5;6;1;11;"2;12;3;0;14";"12;3;14;0;2";5;0,5000;"2;12;3;0;14";0;1,0000;"2;12;3;0;14";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibswscaleswscale.c_lumRangeFromJpeg16_c.c
extr_FFmpeglibswscaleswscale.c_lumRangeFromJpeg16_c.c;1;5;6;0;0;"0;12;14;2;3";"12;3;14;0;2";5;0,5000;"2;12;3;0;14";6;0,4000;"2;12;3;0;14";6;0,4000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibswscaleswscale.c_lumRangeFromJpeg16_c.c
extr_FFmpeglibswscaleswscale.c_lumRangeFromJpeg16_c.c;2;5;6;0;0;"0;12;14;2;3";"12;3;14;0;2";5;0,5000;"2;12;3;0;14";6;0,4000;"2;12;3;0;14";6;0,4000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibswscaleswscale.c_lumRangeFromJpeg16_c.c
extr_FFmpeglibswscaleswscale.c_lumRangeFromJpeg_c.c;0;5;6;1;256;"2;12;3;0;14";"12;3;14;0;2";5;0,5000;"2;12;3;0;14";0;1,0000;"2;12;3;0;14";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibswscaleswscale.c_lumRangeFromJpeg_c.c
extr_FFmpeglibswscaleswscale.c_lumRangeFromJpeg_c.c;1;5;6;1;11;"2;12;3;0;14";"12;3;14;0;2";5;0,5000;"2;12;3;0;14";0;1,0000;"2;12;3;0;14";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibswscaleswscale.c_lumRangeFromJpeg_c.c
extr_FFmpeglibswscaleswscale.c_lumRangeFromJpeg_c.c;2;5;6;0;1;"0;14;2;12;3";"12;3;14;0;2";7;0,3000;"2;12;3;0;14";6;0,4000;"2;12;3;0;14";6;0,4000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpeglibswscaleswscale.c_lumRangeFromJpeg_c.c
extr_FFmpegtestsapiapi-flac-test.c_generate_raw_frame.c;0;9;11;1;65025;"15;17;28;6;30;31;7;0;33";"15;7;17;30;6;28;33;0;31";11;0,6944;"15;17;28;6;30;31;7;0;33";0;1,0000;"15;17;28;6;30;31;7;0;33";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpegtestsapiapi-flac-test.c_generate_raw_frame.c
extr_FFmpegtestsapiapi-flac-test.c_generate_raw_frame.c;1;9;11;1;100;"15;17;28;6;30;31;7;0;33";"15;7;17;30;6;28;33;0;31";11;0,6944;"15;17;28;6;30;31;7;0;33";0;1,0000;"15;17;28;6;30;31;7;0;33";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpegtestsapiapi-flac-test.c_generate_raw_frame.c
extr_FFmpegtestsapiapi-flac-test.c_generate_raw_frame.c;2;9;11;0;1;"0;33;6;15;17;28;30;31;7";"15;7;17;30;6;28;33;0;31";22;0,3889;"15;17;28;6;30;31;7;0;33";17;0,5278;"15;17;28;6;30;31;7;0;33";17;0,5278;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpegtestsapiapi-flac-test.c_generate_raw_frame.c
extr_FFmpegtestscheckasmvp8dsp.c_dct4x4.c;0;9;11;1;5;"1;82;154;2;79;84;0;156;81";"79;2;81;84;1;82;156;0;154";19;0,4722;"1;82;154;2;79;84;0;156;81";0;1,0000;"1;82;154;2;79;84;0;156;81";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpegtestscheckasmvp8dsp.c_dct4x4.c
extr_FFmpegtestscheckasmvp8dsp.c_dct4x4.c;1;9;11;1;5;"1;82;154;2;79;84;0;156;81";"79;2;81;84;1;82;156;0;154";19;0,4722;"1;82;154;2;79;84;0;156;81";0;1,0000;"1;82;154;2;79;84;0;156;81";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpegtestscheckasmvp8dsp.c_dct4x4.c
extr_FFmpegtestscheckasmvp8dsp.c_dct4x4.c;2;9;11;0;0;"0;1;154;156;2;79;81;82;84";"79;2;81;84;1;82;156;0;154";24;0,3333;"1;82;154;2;79;84;0;156;81";15;0,5833;"1;82;154;2;79;84;0;156;81";15;0,5833;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpegtestscheckasmvp8dsp.c_dct4x4.c
extr_FFmpegtestscheckasmvp8dsp.c_wht4x4.c;0;9;11;1;5;"1;42;2;39;44;93;0;41;95";"39;2;41;44;1;42;95;0;93";15;0,5833;"1;42;2;39;44;93;0;41;95";0;1,0000;"1;42;2;39;44;93;0;41;95";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpegtestscheckasmvp8dsp.c_wht4x4.c
extr_FFmpegtestscheckasmvp8dsp.c_wht4x4.c;1;9;11;1;5;"1;42;2;39;44;93;0;41;95";"39;2;41;44;1;42;95;0;93";15;0,5833;"1;42;2;39;44;93;0;41;95";0;1,0000;"1;42;2;39;44;93;0;41;95";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpegtestscheckasmvp8dsp.c_wht4x4.c
extr_FFmpegtestscheckasmvp8dsp.c_wht4x4.c;2;9;11;0;0;"0;1;2;39;41;42;44;93;95";"39;2;41;44;1;42;95;0;93";14;0,6111;"1;42;2;39;44;93;0;41;95";11;0,6944;"1;42;2;39;44;93;0;41;95";11;0,6944;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_FFmpegtestscheckasmvp8dsp.c_wht4x4.c
extr_Mirai-Source-Codeloadersrcutil.c_util_memsearch.c;0;13;17;0;255;"10;20;8;25;27;28;0;23;31;7;26;30;6";"8;27;28;23;6;20;26;0;31;7;10;30;25";33;0,5769;"8;10;27;28;20;26;25;0;31;6;7;30;23";17;0,7821;"10;20;8;25;27;28;0;23;31;7;26;30;6";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Mirai-Source-Codeloadersrcutil.c_util_memsearch.c
extr_Mirai-Source-Codeloadersrcutil.c_util_memsearch.c;1;13;17;0;10;"10;20;8;25;27;28;0;23;31;7;26;30;6";"8;27;28;23;6;20;26;0;31;7;10;30;25";33;0,5769;"8;10;27;28;20;26;25;0;31;6;7;30;23";17;0,7821;"10;20;8;25;27;28;0;23;31;7;26;30;6";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Mirai-Source-Codeloadersrcutil.c_util_memsearch.c
extr_Mirai-Source-Codeloadersrcutil.c_util_memsearch.c;2;13;17;0;1;"0;30;31;7;8;10;20;23;25;26;27;28;6";"8;27;28;23;6;20;26;0;31;7;10;30;25";50;0,3590;"8;10;27;28;20;26;25;0;31;6;7;30;23";44;0,4359;"10;20;8;25;27;28;0;23;31;7;26;30;6";37;0,5256;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Mirai-Source-Codeloadersrcutil.c_util_memsearch.c
extr_Mirai-Source-Codemiraibotattack.c_attack_get_opt_str.c;0;8;10;0;256;"5;17;18;6;0;20;21;12";"6;12;0;18;17;20;21;5";17;0,3929;"5;6;17;18;0;21;20;12";3;0,8929;"5;17;18;6;0;20;21;12";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Mirai-Source-Codemiraibotattack.c_attack_get_opt_str.c
extr_Mirai-Source-Codemiraibotattack.c_attack_get_opt_str.c;1;8;10;0;11;"5;17;18;6;0;20;21;12";"6;12;0;18;17;20;21;5";17;0,3929;"5;6;17;18;0;21;20;12";3;0,8929;"5;17;18;6;0;20;21;12";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Mirai-Source-Codemiraibotattack.c_attack_get_opt_str.c
extr_Mirai-Source-Codemiraibotattack.c_attack_get_opt_str.c;2;8;10;0;1;"0;20;21;5;12;17;18;6";"6;12;0;18;17;20;21;5";18;0,3571;"5;6;17;18;0;21;20;12";18;0,3571;"5;17;18;6;0;20;21;12";15;0,4643;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Mirai-Source-Codemiraibotattack.c_attack_get_opt_str.c
extr_Mirai-Source-Codemiraibotchecksum.c_checksum_generic.c;0;8;10;0;6;"4;5;9;0;11;11_18.ce;18;13";"5;9;0;11_18.ce;11;13;18;4";9;0,6786;"4;5;9;0;11;18;11_18.ce;13";1;0,9643;"4;5;9;0;11;11_18.ce;18;13";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Mirai-Source-Codemiraibotchecksum.c_checksum_generic.c
extr_Mirai-Source-Codemiraibotkiller.c_mem_exists.c;0;12;16;0;255;"10;13;22;27;29;0;25;32;9;28;30;7";"9;29;0;22;13;25;27;32;10;28;30;7";23;0,6515;"10;13;29;22;28;27;0;32;7;9;30;25";13;0,8030;"10;13;22;27;29;0;25;32;9;28;30;7";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Mirai-Source-Codemiraibotkiller.c_mem_exists.c
extr_Mirai-Source-Codemiraibotkiller.c_mem_exists.c;1;12;16;0;10;"10;13;22;27;29;0;25;32;9;28;30;7";"9;29;0;22;13;25;27;32;10;28;30;7";23;0,6515;"10;13;29;22;28;27;0;32;7;9;30;25";13;0,8030;"10;13;22;27;29;0;25;32;9;28;30;7";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Mirai-Source-Codemiraibotkiller.c_mem_exists.c
extr_Mirai-Source-Codemiraibotutil.c_util_memsearch.c;0;13;17;0;255;"10;20;8;25;27;28;0;23;31;7;26;30;6";"8;27;28;23;6;20;26;0;31;7;10;30;25";33;0,5769;"8;10;27;28;20;26;25;0;31;6;7;30;23";17;0,7821;"10;20;8;25;27;28;0;23;31;7;26;30;6";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Mirai-Source-Codemiraibotutil.c_util_memsearch.c
extr_Mirai-Source-Codemiraibotutil.c_util_memsearch.c;1;13;17;0;10;"10;20;8;25;27;28;0;23;31;7;26;30;6";"8;27;28;23;6;20;26;0;31;7;10;30;25";33;0,5769;"8;10;27;28;20;26;25;0;31;6;7;30;23";17;0,7821;"10;20;8;25;27;28;0;23;31;7;26;30;6";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Mirai-Source-Codemiraibotutil.c_util_memsearch.c
extr_Mirai-Source-Codemiraibotutil.c_util_memsearch.c;2;13;17;0;1;"0;30;31;7;8;10;20;23;25;26;27;28;6";"8;27;28;23;6;20;26;0;31;7;10;30;25";50;0,3590;"8;10;27;28;20;26;25;0;31;6;7;30;23";44;0,4359;"10;20;8;25;27;28;0;23;31;7;26;30;6";37;0,5256;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_Mirai-Source-Codemiraibotutil.c_util_memsearch.c
extr_SoftEtherVPNsrcCedarProto_IkePacket.c_IkeCheckKeySize.c;0;14;18;0;2;"8;0;10;17;18;20;20.le;21;4;7;0_6.ce;16;4_6.ce;6";"4;17;0;7;6;8;10;20.le;4_6.ce;16;18;20;21;0_6.ce";38;0,5824;"8;10;17;18;0;21;4;6;20;7;0_6.ce;4_6.ce;20.le;16";17;0,8132;"8;0;10;17;18;20;20.le;21;4;7;0_6.ce;16;4_6.ce;6";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_SoftEtherVPNsrcCedarProto_IkePacket.c_IkeCheckKeySize.c
extr_SoftEtherVPNsrcMayaquaStr.c_MakeCharArray2.c;0;5;6;1;11;"3;4;6;0;8";"6;4;8;0;3";6;0,4000;"3;4;6;0;8";0;1,0000;"3;4;6;0;8";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_SoftEtherVPNsrcMayaquaStr.c_MakeCharArray2.c
extr_SoftEtherVPNsrcSeeOpenclos.c_PacketItoa.c;0;5;6;1;11;"3;14;4;0;16";"14;4;16;0;3";5;0,5000;"3;14;4;0;16";0;1,0000;"3;14;4;0;16";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_SoftEtherVPNsrcSeeOpenclos.c_PacketItoa.c
extr_The-Art-Of-Programming-By-Julyebookcodec10.1.3：教你一步一步用c语言实现sift算法、下.c_AverageWeakBins.c;0;12;15;1;512;"12;14;27;34;21;4;20;36;37;5;0;39";"5;36;0;20;14;21;27;39;12;34;37;4";40;0,3939;"12;14;27;34;20;21;4;36;37;5;0;39";2;0,9697;"12;14;27;34;21;4;20;36;37;5;0;39";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_The-Art-Of-Programming-By-Julyebookcodec10.1.3：教你一步一步用c语言实现sift算法、下.c_AverageWeakBins.c
extr_The-Art-Of-Programming-By-Julyebookcodec10.1.3：教你一步一步用c语言实现sift算法、下.c_AverageWeakBins.c;1;12;15;1;22;"12;14;27;34;21;4;20;36;37;5;0;39";"5;36;0;20;14;21;27;39;12;34;37;4";40;0,3939;"12;14;27;34;20;21;4;36;37;5;0;39";2;0,9697;"12;14;27;34;21;4;20;36;37;5;0;39";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_The-Art-Of-Programming-By-Julyebookcodec10.1.3：教你一步一步用c语言实现sift算法、下.c_AverageWeakBins.c
extr_The-Art-Of-Programming-By-Julyebookcodec10.1.3：教你一步一步用c语言实现sift算法、下.c_normalizeVec.c;0;9;11;1;256;"12;3;14;19;4;9;0;11;21";"9;4;11;14;3;12;21;0;19";20;0,4444;"12;3;14;19;4;9;0;11;21";0;1,0000;"12;3;14;19;4;9;0;11;21";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_The-Art-Of-Programming-By-Julyebookcodec10.1.3：教你一步一步用c语言实现sift算法、下.c_normalizeVec.c
extr_The-Art-Of-Programming-By-Julyebookcodec10.1.3：教你一步一步用c语言实现sift算法、下.c_normalizeVec.c;1;9;11;1;11;"12;3;14;19;4;9;0;11;21";"9;4;11;14;3;12;21;0;19";20;0,4444;"12;3;14;19;4;9;0;11;21";0;1,0000;"12;3;14;19;4;9;0;11;21";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_The-Art-Of-Programming-By-Julyebookcodec10.1.3：教你一步一步用c语言实现sift算法、下.c_normalizeVec.c
extr_The-Art-Of-Programming-By-Julyebookcodec2.6：求连续子数组的最大和.c_maxSubArray.c;0;17;22;0;11;"12;14;32;36;37;39;23;0;27;41;42;6;9;0_8.ce;35;6_8.ce;8";"6_8.ce;27;32;41;0_8.ce;9;23;0;36;42;8;39;37;14;35;12;6";81;0,4044;"12;14;32;37;39;23;27;35;36;0;42;6;8;41;9;0_8.ce;6_8.ce";18;0,8676;"12;14;32;36;37;39;23;0;27;41;42;6;9;0_8.ce;35;6_8.ce;8";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_The-Art-Of-Programming-By-Julyebookcodec2.6：求连续子数组的最大和.c_maxSubArray.c
extr_The-Art-Of-Programming-By-Julyebookcodec3.1：二分查找实现.c_binary_search.c;0;11;14;0;11;"29;6;23;26;27;25;28;18;8;0;16";"16;28;29;25;6;23;27;0;26;8;18";25;0,5455;"6;8;27;16;18;23;26;0;29;28;25";29;0,4727;"18;29;6;23;26;27;25;28;8;0;16";7;0,8727;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_The-Art-Of-Programming-By-Julyebookcodec3.1：二分查找实现.c_binary_search.c
extr_The-Art-Of-Programming-By-Julyebookcodec4.3：出现次数超过一半的数字.c_FindOneNumber.c;0;11;14;0;11;"6;13;17;17_23.ce;23;24;8;0;26;15;19";"13;24;26;17_23.ce;6;17;23;0;19;8;15";16;0,7091;"6;17;23;24;8;17_23.ce;13;15;19;0;26";12;0,7818;"6;13;17;17_23.ce;23;24;8;0;26;15;19";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_The-Art-Of-Programming-By-Julyebookcodec4.3：出现次数超过一半的数字.c_FindOneNumber.c
extr_anypixelfirmwarecontrollerThirdPartySPLsrcstm32f4xx_rtc.c_RTC_ByteToBcd2.c;0;4;5;1;11;"2;3;0;6";"3;6;0;2";4;0,3333;"2;3;0;6";0;1,0000;"2;3;0;6";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_anypixelfirmwarecontrollerThirdPartySPLsrcstm32f4xx_rtc.c_RTC_ByteToBcd2.c
extr_anypixelfirmwarecontrollerThirdPartySPLsrcstm32f4xx_rtc.c_RTC_ByteToBcd2.c;1;4;5;1;26;"2;3;0;6";"3;6;0;2";4;0,3333;"2;3;0;6";0;1,0000;"2;3;0;6";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_anypixelfirmwarecontrollerThirdPartySPLsrcstm32f4xx_rtc.c_RTC_ByteToBcd2.c
extr_anypixelfirmwarecontrollerThirdPartySPLsrcstm32f4xx_rtc.c_RTC_ByteToBcd2.c;2;4;5;1;2;"2;0;3;6";"3;6;0;2";5;0,1667;"2;3;0;6";1;0,8333;"2;3;0;6";1;0,8333;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_anypixelfirmwarecontrollerThirdPartySPLsrcstm32f4xx_rtc.c_RTC_ByteToBcd2.c
extr_anypixelfirmwarecontrollersrctextfuncs.c_TEXT_deleteWhiteSpace.c;0;15;20;0;11;"3;10;16;22;30;37;38;4;0;40;10_28.ce;16_28.ce;22_28.ce;28;4_28.ce";"4_28.ce;22_28.ce;28;16;3;10_28.ce;22;0;37;4;10;40;38;16_28.ce;30";63;0,4000;"3;37;38;4;28;10;4_28.ce;10_28.ce;16;16_28.ce;22;22_28.ce;30;0;40";41;0,6095;"3;10;16;22;30;37;38;4;0;40;10_28.ce;16_28.ce;22_28.ce;28;4_28.ce";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_anypixelfirmwarecontrollersrctextfuncs.c_TEXT_deleteWhiteSpace.c
extr_anypixelfirmwaredisplayThirdPartySPLsrcstm32f0xx_rtc.c_RTC_ByteToBcd2.c;0;4;5;1;11;"2;3;0;6";"3;6;0;2";4;0,3333;"2;3;0;6";0;1,0000;"2;3;0;6";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_anypixelfirmwaredisplayThirdPartySPLsrcstm32f0xx_rtc.c_RTC_ByteToBcd2.c
extr_anypixelfirmwaredisplayThirdPartySPLsrcstm32f0xx_rtc.c_RTC_ByteToBcd2.c;1;4;5;1;26;"2;3;0;6";"3;6;0;2";4;0,3333;"2;3;0;6";0;1,0000;"2;3;0;6";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_anypixelfirmwaredisplayThirdPartySPLsrcstm32f0xx_rtc.c_RTC_ByteToBcd2.c
extr_anypixelfirmwaredisplayThirdPartySPLsrcstm32f0xx_rtc.c_RTC_ByteToBcd2.c;2;4;5;1;2;"2;0;3;6";"3;6;0;2";5;0,1667;"2;3;0;6";1;0,8333;"2;3;0;6";1;0,8333;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_anypixelfirmwaredisplayThirdPartySPLsrcstm32f0xx_rtc.c_RTC_ByteToBcd2.c
extr_brotlicencbrotli_bit_stream.c_MoveToFront.c;0;5;6;1;11;"3;10;5;0;12";"10;5;12;0;3";5;0,5000;"3;10;5;0;12";0;1,0000;"3;10;5;0;12";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_brotlicencbrotli_bit_stream.c_MoveToFront.c
extr_brotlicencentropy_encode.c_BrotliReverseBits.c;0;5;6;1;25;"7;17;9;0;19";"17;9;19;0;7";5;0,5000;"7;17;9;0;19";0;1,0000;"7;17;9;0;19";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_brotlicencentropy_encode.c_BrotliReverseBits.c
extr_brotlicencentropy_encode.c_BrotliReverseBits.c;1;5;6;1;64;"7;17;9;0;19";"17;9;19;0;7";5;0,5000;"7;17;9;0;19";0;1,0000;"7;17;9;0;19";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_brotlicencentropy_encode.c_BrotliReverseBits.c
extr_brotlicencentropy_encode.c_BrotliReverseBits.c;2;5;6;1;3;"7;17;9;0;19";"17;9;19;0;7";5;0,5000;"7;17;9;0;19";0;1,0000;"7;17;9;0;19";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_brotlicencentropy_encode.c_BrotliReverseBits.c
extr_ccvlib3rdpartykissfftkiss_fft.c_kiss_fft_next_fast_size.c;0;14;18;0;3;"14;3;17;5;0;13;19;2;21;24;7;8;11;22";"3;17;0;8;7;11;13;21;5;14;19;22;24;2";36;0,6044;"14;3;8;11;17;5;13;19;2;7;22;0;21;24";27;0,7033;"14;3;17;5;0;13;19;2;21;24;7;8;11;22";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_ccvlib3rdpartykissfftkiss_fft.c_kiss_fft_next_fast_size.c
extr_ccvlib3rdpartykissfftkiss_fft.c_kiss_fft_next_fast_size.c;1;14;18;1;10;"3;5;14;8;13;19;2;7;0;11;17;21;22;24";"3;17;0;8;7;11;13;21;5;14;19;22;24;2";36;0,6044;"14;3;8;11;17;5;13;19;2;7;22;0;21;24";17;0,8132;"14;3;17;5;0;13;19;2;21;24;7;8;11;22";26;0,7143;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_ccvlib3rdpartykissfftkiss_fft.c_kiss_fft_next_fast_size.c
extr_ccvlib3rdpartykissfftkiss_fft.c_kiss_fft_next_fast_size.c;2;14;18;0;2;"14;3;0;13;17;19;2;21;24;5;7;8;11;22";"3;17;0;8;7;11;13;21;5;14;19;22;24;2";38;0,5824;"14;3;8;11;17;5;13;19;2;7;22;0;21;24";35;0,6154;"14;3;17;5;0;13;19;2;21;24;7;8;11;22";8;0,9121;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_ccvlib3rdpartykissfftkiss_fft.c_kiss_fft_next_fast_size.c
extr_ccvlib3rdpartykissfftkissf_fft.c_kissf_fft_next_fast_size.c;0;14;18;0;3;"14;3;17;5;0;13;19;2;21;24;7;8;11;22";"3;17;0;8;7;11;13;21;5;14;19;22;24;2";36;0,6044;"14;3;8;11;17;5;13;19;2;7;22;0;21;24";27;0,7033;"14;3;17;5;0;13;19;2;21;24;7;8;11;22";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_ccvlib3rdpartykissfftkissf_fft.c_kissf_fft_next_fast_size.c
extr_ccvlib3rdpartykissfftkissf_fft.c_kissf_fft_next_fast_size.c;1;14;18;1;10;"3;5;14;8;13;19;2;7;0;11;17;21;22;24";"3;17;0;8;7;11;13;21;5;14;19;22;24;2";36;0,6044;"14;3;8;11;17;5;13;19;2;7;22;0;21;24";17;0,8132;"14;3;17;5;0;13;19;2;21;24;7;8;11;22";26;0,7143;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_ccvlib3rdpartykissfftkissf_fft.c_kissf_fft_next_fast_size.c
extr_ccvlib3rdpartykissfftkissf_fft.c_kissf_fft_next_fast_size.c;2;14;18;0;2;"14;3;0;13;17;19;2;21;24;5;7;8;11;22";"3;17;0;8;7;11;13;21;5;14;19;22;24;2";38;0,5824;"14;3;8;11;17;5;13;19;2;7;22;0;21;24";35;0,6154;"14;3;17;5;0;13;19;2;21;24;7;8;11;22";8;0,9121;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_ccvlib3rdpartykissfftkissf_fft.c_kissf_fft_next_fast_size.c
extr_ccvlib3rdpartysqlite3sqlite3.c_sqlite3Pow10.c;0;8;10;1;7;"3;7;11;3_7.ce;5;0;10;13";"3_7.ce;5;0;10;7;11;13;3";15;0,4643;"3;7;11;3_7.ce;5;0;10;13";0;1,0000;"3;7;11;3_7.ce;5;0;10;13";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_ccvlib3rdpartysqlite3sqlite3.c_sqlite3Pow10.c
extr_ccvlib3rdpartysqlite3sqlite3.c_sqlite3Pow10.c;1;8;10;0;8;"3;5;7;11;0;10;13;3_7.ce";"3_7.ce;5;0;10;7;11;13;3";17;0,3929;"3;7;11;3_7.ce;5;0;10;13";6;0,7857;"3;7;11;3_7.ce;5;0;10;13";6;0,7857;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_ccvlib3rdpartysqlite3sqlite3.c_sqlite3Pow10.c
extr_ccvlib3rdpartysqlite3sqlite3.c_sqlite3Pow10.c;2;8;10;1;4;"3;7;11;3_7.ce;5;0;10;13";"3_7.ce;5;0;10;7;11;13;3";15;0,4643;"3;7;11;3_7.ce;5;0;10;13";0;1,0000;"3;7;11;3_7.ce;5;0;10;13";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_ccvlib3rdpartysqlite3sqlite3.c_sqlite3Pow10.c
extr_ccvlibccv_cache.c_sparse_bitcount.c;0;4;5;1;4;"2;3;0;7";"3;7;0;2";4;0,3333;"2;3;0;7";0;1,0000;"2;3;0;7";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_ccvlibccv_cache.c_sparse_bitcount.c
extr_ccvlibccv_cache.c_sparse_bitcount.c;1;4;5;1;9;"2;3;0;7";"3;7;0;2";4;0,3333;"2;3;0;7";0;1,0000;"2;3;0;7";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_ccvlibccv_cache.c_sparse_bitcount.c
extr_ccvlibccv_cache.c_sparse_bitcount.c;2;4;5;1;3;"2;3;0;7";"3;7;0;2";4;0,3333;"2;3;0;7";0;1,0000;"2;3;0;7";0;1,0000;https://github.com/lac-dcc/hydra/blob/main/Benchmark/Jotai/extr_ccvlibccv_cache.c_sparse_bitcount.c
